    ;round ;last_winning_bid ;last_winning_bidders   ;auction_round ;last_winning_miner ;last_mining_payoff ;base_reward ;SpongeBob ;PassiveLauncher ;AlwaysLauncher ;AggressiveLauncher ;Manu ;Observer ;Evie
143 ;56    ;4                ;['Manu']               ;89            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;666  ;720      ;739
144 ;56    ;4                ;['Manu']               ;90            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;662  ;720      ;739
145 ;56    ;4                ;['Manu']               ;91            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;658  ;720      ;739
146 ;56    ;4                ;['Manu']               ;92            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;654  ;720      ;739
147 ;56    ;4                ;['Manu']               ;93            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;650  ;720      ;739
148 ;56    ;4                ;['Manu']               ;94            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;646  ;720      ;739
149 ;56    ;4                ;['Manu']               ;95            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;642  ;720      ;739
150 ;56    ;4                ;['Manu']               ;96            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;638  ;720      ;739
151 ;56    ;4                ;['Manu']               ;97            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;634  ;720      ;739
152 ;56    ;4                ;['Manu']               ;98            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;630  ;720      ;739
153 ;56    ;4                ;['Manu']               ;99            ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;626  ;720      ;739
154 ;56    ;4                ;['Manu']               ;100           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;622  ;720      ;739
155 ;56    ;4                ;['Manu']               ;101           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;618  ;720      ;739
156 ;56    ;4                ;['Manu']               ;102           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;614  ;720      ;739
157 ;56    ;4                ;['Manu']               ;103           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;610  ;720      ;739
158 ;56    ;4                ;['Manu']               ;104           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;606  ;720      ;739
159 ;56    ;4                ;['Manu']               ;105           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;602  ;720      ;739
160 ;56    ;4                ;['Manu']               ;106           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;598  ;720      ;739
161 ;56    ;4                ;['Manu']               ;107           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;594  ;720      ;739
162 ;56    ;4                ;['Manu']               ;108           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;590  ;720      ;739
163 ;56    ;4                ;['Manu']               ;109           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;586  ;720      ;739
164 ;56    ;4                ;['Manu']               ;110           ;SpongeBob          ;29                 ;3           ;342       ;-10             ;794            ;-10                ;582  ;720      ;739
